Group (Malavolta, 2020);ID (Malavolta, 2020);Guideline (Malavolta, 2020);Software Quality (Malavolta, 2020);Usefulness (Malavolta, 2020);I/M;Relevant to MRS;Favors?;Relevant to MRS Mission Management;Supported;Design Decisions;Location;Skill Specific / Core;Rationale and Assumptions;;;;;
B;B1;The behavior of each node should follow a well-defined lifecyle, which should be queryable and updatable at run-time;Reliability,Maintainability,Portability;50;M/I;Yes;Favors;Yes;Yes;DD. 6;https://lesunb.github.io/hmrs_mission_control/modules/skill_implementation.html;Core;MissionControl relies on ROS2 and pytrees for dealing with skills. Such frameworks provide well-defined lifecycle, queryable and updatable nodes by design.;;;;;
B;B2;The spinning rate for nodes should be configurable so that they can operate according to available computational resources;Performance;47;;;;;;;;;;;;;;
B;B3;If a node is stateful and its behavior strongly depends on the time and order of arrival of messages, specify the protocol of the messages expected by the node;Reliability,Usability;45;;No;;No;-;;;;we have stateful nodes, yet, nodes are independent of time and message arrival order;;;;;
N;N10;Take full advantage of existing packages in the ROS ecosystem and create your own package only when it is strictly needed.;Maintainability;-;M;Yes;Favors;Yes;Yes;DD 6.;Move Base, Pytrees (Evaluation);Core;We used py_trees_ros in our implementation and provide an example of skill implementation using move_base ;;;;;
B;B5;Nodes with configuration errors should fail explicitly at launch time;Reliability;-;;;;Yes;No;;;;;;;;;
B;B6;If a node is computationally expensive, then ensure that it only executes when some other nodes are subscribing to a topic it publishes to (unless topic latching is enabled).;Performance,Energy;-;;;;Yes;Yes;;;;;;;;;
C;C1;Use standard ROS message formats as much as possible, possibly supporting also their legacy versions;Maintainability,Compatibility,Portability;71;M/I;Yes;Neutral;No;-;DD. 6;-;Skill Specific;There are no ROS messages being exchanged within the main architectural components. ;;;;;
C;C10;Publish empty messages when triggering atomic actions;Performance;25;;;;;;;;;;;;;;
C;C11;Frequent messages should be exchanged either via services with persistent connections or via topic-based communication;Performance;-;;;;;;;;;;;;;;
C;C12;Use nodelets when the overhead due to inter-process communication is too high both in terms of frequency of messages and payload.;Performance;-;;;;;;;;;;;;;;
C;C13;Unsubscribe from topics where no messages will be published to (even temporarily).;Performance;-;;;;;;;;;;;;;;
C;C14;Unsubscribe from topics when the subscribing node will not need the messages published to them (even temporarily).;Performance;-;;;;;;;;;;;;;;
C;C15;Publish messages (and perform the computation necessary to generate them) on a topic only when there is at least one subscriber to it.;Performance;-;;;;;;;;;;;;;;
C;C5;Nodes that potentially produce/consume large amounts of messages should be configurable in terms of their publish/subscribe rates;Performance,Maintainability,Reliability;55;I;Yes;Neutral;No;-;DD. 6;-;Skill Specific;The components from our architecture do not operate in high rate. Such high frequency can be observed in certain skill implementations.;;;;;
C;C3;Include data- and node-health information in messages containing critical data (e.g., strength of GPS signal);Reliability;61;;;;;;;;;;;;;;
C;C4;If the system is remotely distributed, constantly observe the status of the communication channels, hosts, and machines on the network;Reliability;57;;;;;;;;;;;;;;
C;C8;Take into account that the data exchanged between nodes of the system may not be fully compatible (semantically), incorrect, out-of-order, or redundant;Compatibility,Reliability;42;M/I;Yes;Neutral;No;-;-;-;Skill Specific;This item refers to problems in the interface between integrated components. As MissionControl does not know about the skill impementations, it can not put strategies in place for handling semantic failures. We left for the integrator to provide this.;;;;;
C;C6;Selectively limit the data exchanged between nodes to provide only the information that is strictly necessary for completing tasks;Performance,Security;54;;;;;;;;;;;;;;
C;C7;If different types of data are always sent/received together and must be synchronized, then either package them into a single message or subscribe to them using a time synchronizer filter;Reliability;53;;;;;;;;;;;;;;
C;C2;ROS nodes should be agnostic of the underlying communication mechanisms (e.g., network protocols, deployment topology, etc.);Maintainability,Portability;63;M/I;Yes;Neutral;Yes;Yes;DD. 2;Fig. 7 (DEECo);Core;"The ensemble layer makes the system independent of topology or addresses, i.e., the coordinator and robots discovers each other dynamically at runtime. 

We do not have os-level socket or shared memory. We always use ros pub/sub. We do not make such assumptions. We can deploy either locally or remotely without changing the architecture.";;;;;
C;C9;Use services when starting up robots, instead of publishing to topics;Reliability;37;;;;;;;;;;;;;;
H;H1;Nodes interacting with simulation or physical platforms should implement identical ROS messaging interfaces;Portability;72;M/I;Yes;Neutral;No;-;DD. 6;https://lesunb.github.io/hmrs_mission_control/modules/skill_implementation.html;Skill Specific;There is an interfacing layer separating the proposed architecture and the actual execution/simulation. How this layer is implemented is a responsability from the roboticists using.;;;;;
H;H2;Design ROS nodes to be as hardware-independent as possible;Maintainability,Portability,Compatibility;69;I;Yes;Neutral;No;-;DD. 6 ;https://lesunb.github.io/hmrs_mission_control/modules/skill_implementation.html;Skill Specific;There is an interfacing layer separating the proposed architecture including hardware specifications.;;;;;
H;H4;The interface of nodes responsible for state estimation should (i) support an arbitrary number and different types of sensors and (ii) be able to combine the information provided by the sensors;Compatibility;50;I;Yes;Neutral;No;-;-;-;Skill Specific;State estimation is skill specific.;;;;;
I;I3;Expose a single ROS node with interfaces for third-party users for the most common use cases;Usability,Maintainability;61;M/I;No;-;No;-;-;-;Skill Specific;Its a useful guideline for third-party developers providing reusable components. In this evaluation we are taking the view point of (a) the MissionControl implementation, and (b) users integrating components into a system. ;;;;;
H;H5;If context-specific configuration is needed at run-time (e.g., the available hardware capabilities), then persist this configuration in a dedicated node to avoid having to recalculate it at run-time;Performance;32;;;;;;;;;;;;;;
N;N2;Each ROS package should be responsible for one and only one specific feature of the system or robot capability and provide a well-defined interface for it;Maintainability;63;M;Yes;Neutral;Yes;Yes;DD. 1;ROS package;Core;There is only one ROS package that is solely responsible for orchestrating active skills.;;;;;
I;I6;Logging usage should be standardized across the project and follow well-defined guidelines.;Maintainability;-;M/I;Yes;Neutral;Yes;No;-;-;Skill Specific;The needs for logging are strongly related to the end application, which MissionControl is agnostic about.  In future versions we will (a) define a standard for logging within the MissionControl core, (b) create guidelines for logging in order to be followed by skill implementers to facilitate reuse of skills. ;;;;;
H;H3;Decouple ROS nodes from variations in the execution environment;Maintainability,Portability,Compatibility;59;M;Yes;Favors;Yes;Yes;DD. 5;Fig 4. ;Core;MissionControl assigns tasks taking account characteristics of the robots and state of the world that the robot operates. By taking these characteristics into account the MissionControl runtime frees the low level components of handle part of the complelixty of variability in the environment.;To implement a new skill, the developer should implement a new behavior tree and add a map to the new skill, so the bt engine can use the new skill. When implementing a new robot capabilty, the developer needs to add a new deeco plugin to the robot and the planner will add and use the new capabilty in the plan.;;;;
I;I4;Systems interacting with other non-ROS systems should provide two types of interfaces: a ROS-independent interface for the external systems and a ROS-based interface for ROS tools such as Rviz, Qt, etc.;Usability,Compatibility;60;;;;;;;;;;;;;;
I;I1;Assign meaningful names to components (e.g., nodes, topics, messages, services) and group them by adopting standard prefixes/suffixes;Maintainability,Usability;71;M/I;Yes;Neutral;Yes;Yes;-;https://lesunb.github.io/hmrs_mission_control/modules/skill_implementation.html;Core;MissionControl activates one node at a time (active skill) an it has the name MC_ACTIVE_SKILL_{TASK_NAME} which is meaninful in the domain.;;;;;
N;N5;Transform data only when it is used;Performance,Maintainability;58;?;Yes;Neutral;No;-;-;-;Skill Specific;There is no data transformation between communcating components.;;;;;
I;I2;When possible, core algorithms, libraries, and other generic software components should be ROS-agnostic;Portability,Maintainability;68;M/I;Yes;Favors;Yes;Yes;DD. 6, 7;skill_engine.py;Core;The sequencing component is the one and only interface with ROS nodes, enabling ROS-agnostic implementation of mission coordinators.;;;;;
N;N6;Each single node should also be runnable (and testable) in isolation;Maintainability;55;?;Yes;Neutral;Yes;P;-;Fig 3. Overview;Core;Each component of MissionControl is runnable and testable in isolation. However, they were not implemented as ROS nodes. This item refers to be able to test the nodes idependently and in different test levels. In future version, we aim to increase the test coverage by creating tests on top of ROS in isolation and in integration with some example skills.;;;;;
P;P2;Pay special attention to race conditions when persisting data received from other ROS nodes within the system;Maintainability,Performance;52;M;Yes;Favors;Yes;No;-;-;Core;We do not handle data persistence in the current version of MissionControl.;;;;;
N;N3;Decouple nodes with responsibilities that naturally work at different rates and use different rates for different purposes;Performance,Reliability;61;;;;;;;;;;;;;;
N;N4;By design, limit unnecessary computationally-heavy operations by carefully analyzing the execution scenarios across ROS nodes;Performance,Energy;59;;;;;;;;;;;;;;
I;I5;Identify variation points of the system in advance, and design the system so that it can be extended by third-party users without modifying its core nodes;Maintainability;59;M/I;Yes;Favors;Yes;Yes;DD. 3,5,6;Fig 3 Overview;Core;"We foreseen variations in skills, missions and the envrionment. Based on these variations the mission control architecture provides mechanisms for integrating new components. 
- Skill descriptor
- Environment descriptor
- Skill implementation";;;;;
N;N9;Keep the number of nodes as low as possible to support the basic execution scenarios and then extend the architecture for managing corner cases;Maintainability;-;M/I;Yes;Neutral;No;-;DD 6.;skill_engine.py;Skill Specific;MissionControl contains only active skill as a ROS node.;;;;;
N;N1;Group nodes and interfaces into cohesive sets, each of them with its own responsibilities and well-defined dependencies;Maintainability,Portability;63;M/I;Yes;Favors;Yes;Yes;DD. 6;Fig 3.  Overview;Skill Specific;MissionControl breaks the coordination in cohesive sets of functionality i.e., knowlege exchanges with coordinator, sequencing and activation of skill. It also favors the end-user application be broken in cohesive sets by using a skill based architecture.;;;;;
N;N8;Use a dedicated node to store and represent globally-relevant data (e.g., the physical environment where the system operates) and use it as the single source of truth for all the other nodes in the system;Performance,Reliability,Safety;38;;;;;;;;;;;;;;
N;N7;Provide dedicated nodes for doing introspection and querying the lower levels of the system;Portability (or Reliability?);41;;No;-;-;-;-;-;-;"We understand that this item is more close related to reliability given the item explanaition in the paper (Malavolta, 2020). Therefore it is out of the scope of the current work. 
In future version we will cover reliability. Since hte architecture does not dictate the skill implmentation, there is the need to monitor the executuion of malfunctioning skills.";;;;;
P;P1;Avoid persisting raw data (e.g., a full resolution video) if only part of it will be used;Performance;56;;;;;;;;;;;;;;
P;P3;Use a dedicated node for persisting and querying long-term data and short-term data (e.g., in the order of seconds);Maintainability,Performance;32;M/I;Yes;Favors;Yes;No;DD. 1,5;Fig 4. Database ;Skill Specific;In MissionControl we offload the long-term persistence for predictive evaluation to the environment and skill descriptors, which executes in the coordinator. This strategy creates an independence between how the data is obtained,  persisted and used. With this strategy we expect to favors integrability and modifiability;;;;;
B;B4;When possible, ROS nodes should be stateless and their behaviour should not depend on previous operations or received messages;Reliability,Maintainability,Usability;30;M;Yes;Neutral;Yes;No;-;-;Core;We are aware of the advantages of stateless nodes. However,  our nodes for sequencing and active skill are stateful due the nature of mission coordination. Additional nodes within skills (i.e., implementing  actions and conditions) should be stateless when possible. But this is left for the skill provider.;;;;;
S;S1;State estimation nodes should be resilient with respect to the amount and frequency of the data received by the sensors;Reliability;59;;;;;;;;;;;;;;
S;S2;Use different communication channels and different hardware depending on the criticality and real-time needs of the nodes;Reliability;49;;;;;;;;;;;;;;
S;S3;For real-time requirements, collect timestamps from as many sources as possible (i.e., do not rely on ROS-based timestamps only);Performance;36;;;;;;;;;;;;;;
S;S4;Provide at least one globally-reachable node capable of receiving run-stop messages and stopping/resetting the whole system;Reliability,Safety;34;;;;;;;;;;;;;;
Total;;;;59;;;;;;;;;16;;;;;
;;;;;;;;;;;;;;;;;;
;;Labels (Malavolta, 2020);Definitions (Malavolta, 2020);;;;;;;;;;;;;;;
;;N;Node responsibilities;;;;;;;;;;;;;;;
;;C;Network and Communications;;;;;;;;;;;;;;;
;;H;Interaction with hardware, drivers, sensors, and other lower-level entities;;;;;;;;;;;;;;;
;;I;Interface to external users and developers;;;;;;;;;;;;;;;
;;P;Data persistence;;;;;;;;;;;;;;;
;;B;Internal node behavior;;;;;;;;;;;;;;;
;;S;Safety-critical concerns;;;;;;;;;;;;;;;
;;Misc;Miscellaneous;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
